platz,nachname,vorname,partei,stimme
44,Agosti Monn,Theres,SP,JA
103,Albanese,Franco,CVP,--
125,Amacker,Bruno,SVP,JA
126,Amrein,Hans-Peter,SVP,JA
110,Arnold,Martin,SVP,JA
140,Bachmann,Ernst,SVP,JA
171,Bär,Hansruedi,SVP,JA
10,Barrile,Angelo,SP,JA
75,Bellaiche,Judith,GLP,JA
163,Berger,Antoine,FDP,JA
13,Bischoff,Markus,AL,JA
20,Bloch,Beat,CSP,JA
123,Bollinger,Erich,SVP,JA
111,Borer,Anita,SVP,JA
79,Brazerol,Rico,BDP,JA
34,Brunner,Robert,Grüne,JA
58,Büchi-Wild,Renate,SP,JA
97,Bürgin,Yvonne,CVP,JA
184,Burlet,Marcel,SP,JA
154,Burtscher,Rochus,SVP,JA
5,Bussmann,Barbara,SP,JA
12,Bütikofer,Kaspar,AL,JA
116,Camenisch,Linda,FDP,JA
180,Dalcher,Pierre,SVP,JA
43,Daurù,Andreas,SP,JA
99,Egli,Hans,EDU,JA
4,Egli,Karin,SVP,JA
42,Egli,Ursina,SP,--
71,Erdin,Andreas,GLP,JA
181,Erni,Jonas,SP,JA
130,Farner,Martin,FDP,JA
62,Feldmann,Stefan,SP,JA
81,Fenner,Bruno,BDP,JA
66,Ferro,Ornella,Grüne,JA
82,Fischer,Gerhard,EVP,--
152,Frei-Baumann,Ruth,SVP,JA
178,Frei,Hans,SVP,--
161,Frey,Beatrix,FDP,JA
147,Furrer,Astrid,FDP,JA
138,Fürst,Reinhard,SVP,JA
106,Gantner,Alex,FDP,--
144,Geistlich,Andreas,FDP,--
30,Göldi,Hanspeter,SP,JA
17,Gschwind,Benedikt,SP,JA
78,Gut,Astrid,BDP,JA
54,Gutknecht,René,GLP,JA
86,Gutmann,Eva,GLP,--
21,Guyer,Esther,Grüne,JA
109,Haab,Martin,SVP,--
134,Habicher,Lorenz,SVP,NEIN
169,Haderer,Willy,SVP,JA
149,Haller,Margrit,SVP,JA
146,Hänni,Cäcilia,FDP,JA
48,Hans,Urs,Grüne,JA
100,Häring,Hans Peter,EDU,JA
25,Hasler,Andreas,GLP,JA
176,Haug,Hanspeter,SVP,--
74,Hauri,Andreas,GLP,JA
127,Hauser,Matthias,SVP,JA
69,Häusler,Edith,Grüne,JA
51,Heierli,Daniel,Grüne,JA
18,Heuberger,Catherine,SP,JA
151,Heusser,Hans-Heinrich,SVP,JA
23,Hildebrand,Esther,Grüne,JA
72,Hodel,Daniel,GLP,--
175,Hofer,Jacqueline,SVP,JA
131,Hofmann,Olivier,FDP,JA
104,Holenstein,Christoph,CVP,JA
67,Homberger,Max,Grüne,JA
155,Huber,Beat,SVP,JA
87,Huber,Stefanie,GLP,--
49,Hübscher,Lilith Claudia,Grüne,JA
76,Hunger,Stefan,BDP,--
121,Isler,René,SVP,ENTHALTEN
167,Isliker,Walter,SVP,JA
1,Johner,Brigitta,FDP,--
46,Joss,Rosmarie,SP,JA
50,Kaeser,Regula,Grüne,JA
77,Keller,Cornelia,BDP,JA
124,Keller,Rolando,SVP,--
128,Kläy,Dieter,FDP,--
88,Kleiber-Schenkel,Ruth,EVP,JA
129,Kull-Benz,Katharina,FDP,--
160,Kündig,Jörg,FDP,JA
101,Kutter,Philipp,CVP,JA
95,Kyburz,Heinz,EDU,JA
63,Lais,Ruedi,SP,JA
7,Lalli,Emy,SP,--
139,Langhard,Walter,SVP,JA
174,Langhart,Konrad,SVP,JA
65,Läubli,Hans,Grüne,JA
80,Lenggenhager,Marcel,BDP,JA
57,Loss,Davide,SP,JA
137,Lucek,Christian,SVP,JA
26,Mäder,Jörg,GLP,JA
15,Maeder-Zuberbühler,Karin,SP,JA
22,Margreiter,Ralf,Grüne,--
27,Marthaler,Thomas,SP,JA
36,Marti,Res,Grüne,JA
170,Menzi,Ruedi,SVP,--
153,Mettler,Christian,SVP,--
29,Meyer,Mattea,SP,JA
168,Moor-Schwarz,Ursula,SVP,JA
31,Munz,Roland,SP,JA
24,Neukom,Martin,Grüne,JA
182,Peter,Jacqueline,SP,--
37,Petri,Gabi,Grüne,--
93,Pinto,Jean-Philippe,CVP,JA
133,Preisig,Peter,SVP,--
53,Rappazzo,Pierre,GLP,JA
157,Raths,Hans Heinrich,SVP,JA
91,Reinhard,Peter,EVP,JA
156,Rinderknecht,Margreth,SVP,JA
90,Ritschard,Peter,EVP,JA
68,Rohweder-Lischer,Maria,Grüne,JA
117,Rueff,Sonja,FDP,JA
14,Rusca Speck,Susanna,SP,JA
107,Sauter,Regine,FDP,JA
83,Schaaf,Markus,EVP,JA
55,Schaffner,Barbara,GLP,JA
173,Scheck,Roland,SVP,JA
85,Scherrer,Benno,GLP,JA
115,Scherrer,Werner,FDP,JA
120,Schmid,Claudio,SVP,--
105,Schmid,Lorenz,CVP,JA
3a,Schmid,Roman,SVP,JA
112,Schneebeli,Jakob,SVP,--
89,Schoch,Walter,EVP,JA
145,Schwab,Daniel,FDP,JA
52,Schwarzenbach,Benjamin,GLP,JA
9,Seiler Graf,Priska,SP,JA
61,Seiz-Gut,Silvia,SP,JA
